id,minorista,categoria,url,selector
REF0001,ktronix,,https://www.ktronix.com/ipad-air-13-m4-128gb-wifi-gr/p/195950797978,
REF0002,ktronix,,https://www.ktronix.com/silla-gamer-bergara-gris-dg/p/7705946585781,
REF0003,ktronix,,https://www.ktronix.com/nev-hcb-nf-cs-226lt-n243miplg/p/7704353450736,
REF0004,ktronix,,https://www.ktronix.com/mem-usb-king-datatravl-64gb-rs/p/740617336283,
REF0005,ktronix,,https://www.ktronix.com/cel4g-moto-g15-128gb-nj/p/840023280221,
REF0006,ktronix,,https://www.ktronix.com/silla-ofic-azul-neg-w-205-dp/p/7705946556798,
REF0007,ktronix,,https://www.ktronix.com/mouse-log-inal-optico-m196-ng/p/097855200655,
REF0008,ktronix,,https://www.ktronix.com/lav-lg-cf-25kg-wm25bfxsnfl/p/8806096530627,
REF0009,ktronix,,https://www.ktronix.com/cel5g-samsung-s25-fe-128gbbl/p/8806097671466,
REF0010,ktronix,,https://www.ktronix.com/tv-kalley-43-43gq200-fhd-qled/p/7705946480314,
REF0011,ktronix,,https://www.ktronix.com/aud-sony-blue-ine-twf1000m6-ng/p/027242933477,
REF0012,ktronix,,https://www.ktronix.com/tv-hyundai-58-hyled5816qr-4k/p/7707138059568,
REF0013,ktronix,,https://www.ktronix.com/cel5g-xiaomi-17tpr-1tbng/p/6932554447724,
REF0014,ktronix,,https://www.ktronix.com/anillo-int-oura-r4-tit-t4-ng/p/6430060153493,
REF0015,ktronix,,https://www.ktronix.com/ventilador-mesa-kalley-k-vm6b-recargable-blanco/p/7705946599634,
REF0016,ktronix,,https://www.ktronix.com/estufa-mesa-abba-2-puestos-gas-natural-sg200-1n-gris/p/7706060014171,
REF0017,ktronix,,https://www.ktronix.com/aspiradora-electrolux-3010cdg2403-smart-azul/p/7896347148405,
REF0018,ktronix,,https://www.ktronix.com/subwoofer-sonos-sub-negro/p/840136800132,
REF0019,ktronix,,https://www.ktronix.com/casco-bicicleta-bell-talla-m-super-air-r-azul-amarillo/p/768686284144,
REF0020,ktronix,,https://www.ktronix.com/rodillo-bicicleta-aktive-ht1/p/7707118740202,
REF0021,ktronix,,https://www.ktronix.com/nevera-samsung-no-frost-congelador-superior-236-litros/p/8806092127500,
REF0022,ktronix,,https://www.ktronix.com/bicicleta-spinning-evo-slam/p/7707118747690,
REF0023,ktronix,,https://www.ktronix.com/campana-extractora-haceb-60cms-tipo-peninsula-pared-kala/p/7704353442755,
REF0024,ktronix,,https://www.ktronix.com/patineta-electrica-scooter-inokim-quick-4-super/p/7707118759501,
REF0025,ktronix,,https://www.ktronix.com/horno-microondas-lg-105-pies-ms3032jas-negro/p/8806084127952,
REF0026,ktronix,,https://www.ktronix.com/secador-cabello-gama-tempo-avocado/p/8023277156593,
REF0027,ktronix,,https://www.ktronix.com/estuche-targus-universal-thz784gl-tablets-7-a-85-pulgadas/p/092636338701,
REF0028,ktronix,,https://www.ktronix.com/dispositivo-streaming-tv-watch-onn-full-hd/p/681131422352,
REF0029,ktronix,,https://www.ktronix.com/parlante-marshall-inalambrico-bluetooth-willen-ii-38w/p/7340055399494,
REF0030,ktronix,,https://www.ktronix.com/figura-coleccionable-minix-vinicius/p/8436605118376,
REF0031,ktronix,,https://www.ktronix.com/licuadora-hamilton-beach-multiblend-con-procesador/p/040094954575,
REF0032,ktronix,,https://www.ktronix.com/colchoneta-deportiva-evolution-casata-35-cm-negro/p/7707118767162,
REF0033,ktronix,,https://www.ktronix.com/aspiradora-electrolux-trapeadora-robot-4-en-1-erb62-blanco/p/7909569501672,
REF0034,ktronix,,https://www.ktronix.com/camara-accion-gopro-max2-360/p/810116384174,
REF0035,ktronix,,https://www.ktronix.com/adaptador-hp-inteligente-65w-ac/p/196548955596,
REF0036,ktronix,,https://www.ktronix.com/reloj-multitech-inteligente-mtw-2601-20mm-dorado/p/7708267767096,
REF0037,ktronix,,https://www.ktronix.com/microfono-vta-inalambrico-con-transmisor/p/7702271823113,
REF0038,ktronix,,https://www.ktronix.com/aire-acondicionado-tradicional-220v-24000-btu-blanco-mabe/p/757638437318,
REF0039,ktronix,,https://www.ktronix.com/tablet-reacondicionado-samsung-11-pulgadas-tab-a11-256gb/p/98806097886808,
REF0040,ktronix,,https://www.ktronix.com/combo-philips-depiladora-electrica-con-cable-bre228-00/p/7702463548442,
REF0041,alkosto,,https://www.alkosto.com/ipad-air-13-m4-128gb-wifi-gr/p/195950797978,
REF0042,alkosto,,https://www.alkosto.com/camis-alpbettrnssteeng-s-ac/p/8033637708201,
REF0043,alkosto,,https://www.alkosto.com/bot-to-ands-v2-dsta-neg-41-ac/p/8033637023243,
REF0044,alkosto,,https://www.alkosto.com/casc-ktl-m65-corpor-am-s-ac/p/7705946746748,
REF0045,alkosto,,https://www.alkosto.com/custom-500-stripes-prl-bl-s/p/768686747113,
REF0046,alkosto,,https://www.alkosto.com/spartan-draken-s-rinta0-bl-s/p/7705946648349,
REF0047,alkosto,,https://www.alkosto.com/cas-smk-typhoon-raptor-nj-br-s/p/8902613433058,
REF0048,alkosto,,https://www.alkosto.com/cam-alp-real-spiral-ngbl-s/p/8059347128092,
REF0049,alkosto,,https://www.alkosto.com/casspartan-segment-now-rs-s/p/7700149008624,
REF0050,alkosto,,https://www.alkosto.com/casbllbic-sprairrmp-ng-s-ac/p/768686284137,
REF0051,alkosto,,https://www.alkosto.com/t-lla-marian-060x120blanco-350/p/7702995411962,
REF0052,alkosto,,https://www.alkosto.com/c-cama-sencillo-uvafa/p/7700149423311,
REF0053,alkosto,,https://www.alkosto.com/cel5g-samsung-s25ult-256gb-ng/p/8806095872209,
REF0054,alkosto,,https://www.alkosto.com/silla-presidente-6310/p/7701023462570,
REF0055,alkosto,,https://www.alkosto.com/reloj-huaw-fit4-pro-46m-ng/p/6942103155390,
REF0056,alkosto,,https://www.alkosto.com/silla-primus-100t-gaming-negro/p/798302225268,
REF0057,alkosto,,https://www.alkosto.com/cubrecama-sencillo-blanco/p/7700149528474,
REF0058,alkosto,,https://www.alkosto.com/ipad-pro-13-m5-256gb-wifi-ng/p/195950399783,
REF0059,alkosto,,https://www.alkosto.com/cas-xsports-m67-komplex-ngmr-s/p/7700149495844,
REF0060,alkosto,,https://www.alkosto.com/cel5g-realme-15t-8-256gb-pl/p/6941764475403,
REF0061,alkosto,,https://www.alkosto.com/casc-xsports-913-ng-mt-s/p/7700149579827,
REF0062,alkosto,,https://www.alkosto.com/cas-spartan-fenix-turb-a7-s/p/7700149592253,
REF0063,alkosto,,https://www.alkosto.com/miniteclado-targus-numerico-usb/p/092636205546,
REF0064,alkosto,,https://www.alkosto.com/llanta-kenex-cp661-195-55r15/p/8807622121760,
REF0065,alkosto,,https://www.alkosto.com/llanta-michelin-pilot-super-sport-255-45-r19-100y/p/3528707112477,
REF0066,alkosto,,https://www.alkosto.com/casco-bicicleta-bell-universal-spark-mips-arena-negro/p/768686166112,
REF0067,alkosto,,https://www.alkosto.com/mancuerna-rusa-everlast-12-kg/p/7707118744842,
REF0068,alkosto,,https://www.alkosto.com/llanta-continental-premium-contact-6-235-55-r18-100v-fr/p/051342216307,
REF0069,alkosto,,https://www.alkosto.com/llanta-kenda-kr33a-205-65-r15-camioneta/p/4717294996686,
REF0070,alkosto,,https://www.alkosto.com/patineta-electrica-scooter-emove-t9/p/7707118758870,
REF0071,alkosto,,https://www.alkosto.com/sarten-20-cm-imusa-antiadherente-con-tapa-vidrio-natural/p/7702073039460,
REF0072,alkosto,,https://www.alkosto.com/llanta-rydanz-r09-265-65-r17/p/6923378800420,
REF0073,alkosto,,https://www.alkosto.com/llanta-kenda-kr628-285-75-r16-camioneta/p/4711041539331,
REF0074,alkosto,,https://www.alkosto.com/modulo-gopro-lente-ultra-gran-angular/p/810116381401,
REF0075,alkosto,,https://www.alkosto.com/llanta-michelin-agilis-3-205-70-r15/p/3528709090506,
REF0076,alkosto,,https://www.alkosto.com/toalla-manos-cannon-kriss-50-x-70-cm-600-grms-blanca/p/7702985598178,
REF0077,alkosto,,https://www.alkosto.com/llanta-nexen-nfera-au7-275-35-r19/p/8807622563102,
REF0078,alkosto,,https://www.alkosto.com/llanta-hankook-dynapro-at2-xtreme-rf12-265-65-r17-112t/p/8808563552095,
REF0079,alkosto,,https://www.alkosto.com/celular-infinix-note-60pro-256gb-5g-negro/p/4894947114465,
REF0080,alkosto,,https://www.alkosto.com/monitor-samsung-24-pulgadas-ls24f330-fhd-plano-negro/p/198957224393,
